Petroleum Experts,Move v1.1
Vertex Data,Vertex Data,Vertex Data,Orientation Data,Orientation Data,Orientation Data,Container
Real,Real,Real,Real,Real,Real,Text
X(East),Y(North),Z,dip,azimuth,strike,Object Name
#FF0000,#00FF00,#0000FF,#FFFFFF,#FFFFFF,#FFFFFF,#3F3B1F
metre,metre,metre,degree,degree,degree,
xy,xy,elevation,orientation,orientation,orientation,
1617265.291748,5294760.949251,-24305.220987,55.423702,317.436371,227.436371,Hundalee
1615873.582953,5294063.197467,-24942.465273,54.934010,315.828644,225.828644,Hundalee
1615399.237634,5294025.287890,-25374.541796,54.922607,315.838654,225.838654,Hundalee
1615476.478663,5294312.674139,-25591.724921,55.048706,315.916443,225.916443,Hundalee
1615609.702489,5294425.456466,-25575.031934,55.050339,315.923798,225.923798,Hundalee
1615653.833070,5294462.790930,-25569.485758,55.050339,315.923798,225.923798,Hundalee
1615826.651239,5294607.917369,-25547.664025,54.947056,316.120422,226.120422,Hundalee
1615161.194759,5293872.872505,-25455.000772,54.922607,315.838654,225.838654,Hundalee
1615046.063369,5293775.242083,-25469.417090,54.923157,315.902527,225.902527,Hundalee
1614905.642892,5293445.971311,-25271.823087,54.923157,315.902527,225.902527,Hundalee
1614903.765955,5292979.216738,-24795.330255,55.019238,315.921600,225.921600,Hundalee
1615270.174191,5293023.132876,-24476.261499,55.006119,315.933685,225.933685,Hundalee
1615861.527837,5293625.427448,-24506.261491,55.011509,315.877808,225.877808,Hundalee
1614496.165994,5292380.533905,-24584.719414,55.005943,316.060425,226.060425,Hundalee
1614561.418120,5291972.752994,-24097.808147,55.343071,316.089813,226.089813,Hundalee
1614196.819678,5291431.440998,-23983.462361,52.260426,307.450989,217.450989,Hundalee
1613760.816642,5291369.520823,-24403.273497,54.503765,305.999512,215.999512,Hundalee
1613695.402626,5291858.199683,-24889.840881,55.190720,306.974640,216.974640,Hundalee
1613231.845513,5291769.334491,-25374.965099,57.196022,304.902496,214.902496,Hundalee
1613087.997943,5291235.665030,-25128.077391,55.635452,299.966705,209.966705,Hundalee
1613439.012311,5291006.886202,-24508.831514,56.350254,299.674835,209.674835,Hundalee
1613510.268597,5290484.142924,-24036.533241,55.938442,298.661713,208.661713,Hundalee
1613158.786354,5289998.227075,-24173.791929,56.508228,296.288422,206.288422,Hundalee
1612634.664586,5289975.555070,-24865.885469,56.311504,296.351776,206.351776,Hundalee
1612196.169996,5289201.613977,-24918.648650,56.126686,298.142609,208.142609,Hundalee
1612478.120463,5288825.406198,-24287.897346,55.752235,297.947174,207.947174,Hundalee
1612390.335972,5288351.732674,-24066.697521,56.347164,299.074585,209.074585,Hundalee
1612914.743203,5288424.289587,-23429.691626,56.503971,299.078186,209.078186,Hundalee
1613313.701900,5289098.274988,-23363.327362,56.357304,296.244476,206.244476,Hundalee
1613085.568602,5289358.733919,-23845.149088,56.494514,296.270569,206.270569,Hundalee
1612889.203819,5287900.777311,-23078.844341,56.510525,299.085388,209.085388,Hundalee
1613258.156843,5287869.441067,-22575.787177,55.587822,299.344452,209.344452,Hundalee
1613399.217036,5287420.427059,-22067.455216,56.207844,299.779327,209.779327,Hundalee
1613893.517963,5287931.674530,-21777.268628,57.074993,297.374481,207.374481,Hundalee
1614232.460941,5287978.967185,-21360.321274,55.489944,297.916077,207.916077,Hundalee
1614207.441303,5287342.780707,-20948.375690,56.432102,298.524811,208.524811,Hundalee
1613915.017446,5286644.587404,-20815.423611,56.212532,300.388733,210.388733,Hundalee
1614125.555967,5286279.533665,-20266.166586,56.400002,300.392548,210.392548,Hundalee
1614561.626312,5286811.454246,-20094.437511,56.819279,299.437012,209.437012,Hundalee
1614602.005810,5287428.263811,-20492.643880,55.943829,298.773102,208.773102,Hundalee
1615081.864388,5287982.708750,-20240.961978,56.349403,296.549438,206.549438,Hundalee
1615210.500899,5288552.162622,-20457.192136,56.701412,297.174072,207.174072,Hundalee
1614755.661960,5288633.904162,-21120.819620,55.918327,296.966888,206.966888,Hundalee
1614878.872015,5289164.201412,-21317.393470,56.189899,297.441803,207.441803,Hundalee
1615841.965225,5289015.146357,-19991.765072,54.595402,303.166534,213.166534,Hundalee
1616226.227972,5288765.285327,-19316.447313,57.051121,303.861328,213.861328,Hundalee
1616924.478387,5289146.670951,-18893.467246,52.546528,312.729095,222.729095,Hundalee
1617198.646437,5288776.576301,-18250.391741,57.139572,313.319183,223.319183,Hundalee
1617745.918506,5288980.868693,-17875.036970,55.081074,315.328827,225.328827,Hundalee
1617885.869774,5288562.410446,-17304.012260,55.481461,315.374390,225.374390,Hundalee
1617695.472328,5288065.312013,-17010.489858,53.875023,312.573395,222.573395,Hundalee
1618208.258365,5288047.451684,-16477.214141,53.809784,312.588226,222.588226,Hundalee
1618663.836863,5288537.117516,-16499.749353,54.792526,316.170837,226.170837,Hundalee
1618449.236266,5288819.701272,-17002.404112,55.123531,316.209198,226.209198,Hundalee
1618742.962603,5289311.261513,-17216.974271,54.982288,315.902557,225.902557,Hundalee
1619303.317238,5289413.952158,-16765.303358,55.003479,315.866821,225.866821,Hundalee
1619657.518280,5289928.915866,-16940.800911,55.001842,315.853180,225.853180,Hundalee
1620124.757444,5290039.914225,-16590.468508,54.938217,315.957458,225.957458,Hundalee
1620473.016661,5289727.319373,-15924.097418,55.024094,315.930359,225.930359,Hundalee
1620927.785492,5290054.720052,-15813.604711,55.064545,316.969360,226.969360,Hundalee
1621509.367212,5290092.884555,-15298.396001,54.459610,317.902679,227.902679,Hundalee
1621700.983748,5289839.364187,-14846.381333,55.674400,318.466278,228.466278,Hundalee
1622234.870564,5289961.732007,-14472.764986,54.608341,319.183716,229.183716,Hundalee
1622585.410120,5290449.928592,-14705.575198,55.295059,323.293793,233.293793,Hundalee
1622362.231593,5290704.328736,-15187.607514,54.703011,323.610565,233.610565,Hundalee
1621820.075502,5290469.652519,-15406.811969,55.209419,319.470306,229.470306,Hundalee
1621427.732233,5290704.872020,-16025.295834,54.717697,319.240997,229.240997,Hundalee
1620917.223878,5290506.184126,-16298.418235,55.213367,317.152130,227.152130,Hundalee
1620521.482504,5290583.623909,-16765.092218,54.985649,317.259857,227.259857,Hundalee
1620518.666507,5290994.012106,-17196.677749,54.864567,317.163910,227.163910,Hundalee
1620947.423396,5291462.662715,-17298.330393,55.236401,320.504700,230.504700,Hundalee
1620720.991567,5291817.243203,-17891.856226,54.459091,320.350922,230.350922,Hundalee
1620096.475874,5291482.565761,-18121.843642,55.382847,317.236206,227.236206,Hundalee
1619985.210101,5290989.116050,-17709.875375,55.084522,317.000488,227.000488,Hundalee
1619520.786934,5290467.729494,-17628.622246,54.968819,315.845123,225.845123,Hundalee
1621495.201358,5291555.544717,-16915.552464,54.363659,321.837708,231.837708,Hundalee
1621725.411976,5291151.067221,-16255.944698,55.750240,322.104187,232.104187,Hundalee
1622424.019806,5291402.895930,-15946.990967,54.641743,324.632446,234.632446,Hundalee
1622744.101838,5292004.624263,-16386.442781,55.166473,325.312408,235.312408,Hundalee
1622411.341930,5292187.645952,-16873.797993,55.024681,325.373718,235.373718,Hundalee
1622745.776504,5292711.407849,-17218.782368,55.074013,325.404083,235.404083,Hundalee
1622476.448460,5292831.333159,-17580.771875,55.276993,325.328705,235.328705,Hundalee
1621877.349659,5292407.466454,-17573.465262,55.436909,324.867798,234.867798,Hundalee
1621861.049280,5291990.395116,-17093.953945,55.246136,324.764130,234.764130,Hundalee
1622917.819850,5293386.723030,-17883.820897,55.865608,325.689453,235.689453,Hundalee
1622752.676044,5293663.849858,-18346.392771,54.755135,325.857025,235.857025,Hundalee
1623526.980426,5293576.493727,-17623.626792,54.784367,327.025269,237.025269,Hundalee
1623930.696353,5293875.273406,-17695.927744,55.478580,331.607605,241.607605,Hundalee
1624434.201559,5293871.387704,-17353.346934,54.753376,332.672150,242.672150,Hundalee
1624817.060714,5294253.739614,-17589.537626,54.995399,333.169250,243.169250,Hundalee
1624545.724659,5294527.135840,-18112.508759,54.971600,333.173523,243.173523,Hundalee
1623988.900348,5294298.295969,-18192.918911,55.162418,331.410645,241.410645,Hundalee
1624697.083147,5294964.304723,-18571.357083,54.955311,333.150177,243.150177,Hundalee
1625184.451361,5295228.863027,-18539.810707,55.416367,325.251984,235.251984,Hundalee
1625095.029323,5295726.641277,-19213.088284,55.861225,325.748383,235.748383,Hundalee
1624511.514126,5295739.055498,-19661.052167,53.846069,331.034546,241.034546,Hundalee
1624140.262337,5295986.298605,-20219.332089,55.333084,331.057953,241.057953,Hundalee
